name_id,name,spacecraft_id
289,CUBESAT XI-IV (CO-57),5
290,CUBESAT XI-V,8
291,CUBESX-HSE,1972
292,CUBESX-HSE 3 (RS42S),1306
293,CUBESX-HSE-2 (RS21S),1222
294,CUBESX-SIRIUS-HSE-1,1970
295,CUBESX-SIRIUS-HSE-2,1971
296,CUNYSAT-1,135
297,CUPID,1099
298,CURIE A,2493
299,CURIE B,2494
300,CURIUM ONE,2491
301,CUTE,1100
302,CUTE-1 (CO-55),2
303,CUTE-1.7+APD (CO-56),9
304,CXBN,1409
305,CYCLOPS (RS29S),1223
306,Centauri-1 (Centauri I),1722
307,"Centauri-2 (Centauri II, CENTAURI 2)",610
308,Centauri-6,1381
309,"Cesium Satellite 1 (CM1, Cesium Mission 1, CS1)",1098
310,"Cesium Satellite 2 (CM1, Cesium Mission 1, CS2)",1097
311,Chasqui-I,177
312,"Clark sat-1 (Ambitious, CLARKSAT-1)",1358
313,Clark-sat 1 (AMBITIOUS),641
314,CuSP (CubeSat for Solar Particles),2123
315,CubeSail 1 (CubeSail-A),1776
316,CubeSail 2 (CubeSail-B),1775
317,CySat 1,2499
318,D-SAT,477
319,D-Star One,535
320,D-Star One (Sparrow),648
321,D-Star One (iSat),647
322,D-Star One EXOCONNECT,1809
323,D-Star One LightSat,1818
324,D-Star One v.1.1 Phoenix,1690
325,D2/ATLACOM-1,1043
326,DALIAN-1 LIANLI,1297
327,DAVINCI,1770
328,DEKART,804
329,DELFI-C3 (DO-64),35
330,DELFI-N3XT,1427
331,DEMOSAT 2,1679
332,DEORBITSAIL,285
333,DEWASAT-1,2051
334,DEWASAT-2,2243
335,DHABISAT (MYSAT-2),1931
336,DICE-F,1400
337,DICE-Y,1401
338,DIDO 3,1894
339,DIDO-2,366
340,DISCO-1,2238
341,DJIBOUTI-1A,2389
342,DJIBOUTI-1B,2632
343,DODONA,2054
344,DORA,2500
345,DOVE 1,90
346,DOVE 2,85
347,DOVE 3-1,1428
348,DOVE 3-2,1429
349,DOVE 4,1435
350,DOVE PIONEER,552
351,DRAGONSAT,108
352,DTUSAT,3
353,DTUSAT-2,190
354,DUCHIFAT-1,191
355,DUCHIFAT-3,777
356,DUMMY CUBESAT,1193
357,DUMMY SAT 3,2471
358,Descent-1,1916
359,Descent-2,1917
360,Diamond - Blue (Diamond Blue),478
361,Diamond - Green (Diamond Green),479
362,Diamond - Red (Diamond Red),480
363,"Dragracer 1 (Alchemy, Dragracer A)",842
364,"Dragracer 2 (Augury, Dragracer B)",841
365,"Duchifat-2 (Hoopoe-2, IL01)",1567
366,E-ST@R,67
367,"E-TBEx A (TBEX-A, TBEx, Enhanced Tandem Beacon Experiment, Tandem Beacon Experiment)",1801
368,"E-TBEx B (TBEX-B. TBEx, Enhanced Tandem Beacon Experiment, Tandem Beacon Experiment)",1802
369,"E1P (HRBE, Explorer-1 Prime, Hiscock Radiation Belt Explorer)",63
370,"E1P U2 (HRBE , Explorer-1' U2, William A. Hiscock Radiation Belt Explorer)",1405
371,EAGLESAT 1,530
372,EAGLET-I,1711
373,EDGECUBE,765
374,EDISON-1,2670
375,EDSN 1 (Edison Demonstration of Smallsat Networks),307
376,EDSN 2 (Edison Demonstration of Smallsat Networks),309
