id,norad_id,eccentricity,inclination,mean_anomaly,perigee_arg,asend_node_long,mean_motion,mean_motion_1der,mean_motion_2der,rad_pressure_coef,event_at,period,semi_major_axis,altitude,perigee_altitude,apogee_altitude
7392,42997,0.0011837,97.4684,251.5089,108.7437,11.285,15.31514624,0.00111536,0.0,0.00182,1663079007.9999804,94.0245674075914,6849.427116586822,478.4271165868222,470.319449708918,486.5347834647255
7393,42997,0.0011863,97.4688,253.8286,106.426,12.009,15.31596056,0.00099542,0.0,0.0016217,1663141102.0000129,94.01956830319756,6849.184333907315,478.1843339073148,470.05914653200034,486.3095212826293
7394,42997,0.0011857,97.4686,255.0372,105.2181,12.2726,15.31619937,0.0011079,0.0,0.001802,1663163682.000008,94.01810235119706,6849.113138788045,478.113138788045,469.9921453393845,486.2341322367056
7395,42997,0.001172,97.4682,258.6063,101.6494,13.2601,15.31731081,0.00105734,0.0,0.0017146,1663248349.000034,94.01128029992624,6848.781815600196,477.78181560019584,469.7550433123124,485.8085878880793
7396,42997,0.001172,97.4682,258.6063,101.6494,13.2601,15.31731081,0.00105734,0.0,0.0017146,1663248349.000034,94.01128029992624,6848.781815600196,477.78181560019584,469.7550433123124,485.8085878880793
7397,42997,0.0011634,97.4681,261.0839,99.1719,13.9837,15.31806427,0.00092554,0.0,0.001499,1663310434.999989,94.0066561034216,6848.557229979781,477.55722997978137,469.5896184984231,485.52484146113966
7398,42997,0.0011645,97.4681,264.2103,96.0465,14.7737,15.31880584,0.00105322,0.0,0.0017001,1663378161.9999647,94.0021053233742,6848.336206417209,477.3362064172088,469.3613189048356,485.31109392958206
7399,42997,0.0011601,97.4674,264.926,95.3305,15.0367,15.31904607,0.00077044,0.0,0.0012457,1663400737.0000677,94.00063120248844,6848.264610135505,477.2646101355049,469.3199383612864,485.20928190972427
7400,42997,0.0011553,97.468,266.9827,93.2736,15.5639,15.31947762,0.00085884,0.0,0.0013857,1663445885.999997,93.99798320277188,6848.135999028284,477.1359990282836,469.2243475086061,485.047650547961
7401,42997,0.0011553,97.468,266.9827,93.2736,15.5639,15.31947762,0.00085884,0.0,0.0013857,1663445885.999997,93.99798320277188,6848.135999028284,477.1359990282836,469.2243475086061,485.047650547961
7402,42997,0.0011492,97.4677,268.6817,91.5741,16.0247,15.31990192,0.000917,0.0,0.0014769,1663485390.000008,93.99537983465105,6848.00955446259,477.0095544625901,469.1398218826016,484.87928704257865
7403,42997,0.0011445,97.4679,270.5365,89.7188,16.5514,15.32042429,0.00095372,0.0,0.0015331,1663530535.999994,93.9921749386485,6847.853892321136,476.8538923211363,469.0165235413752,484.6912611008984
7404,42997,0.0011445,97.4679,270.5365,89.7188,16.5514,15.32042429,0.00095372,0.0,0.0015331,1663530535.999994,93.9921749386485,6847.853892321136,476.8538923211363,469.0165235413752,484.6912611008984
7405,42997,0.0011385,97.4679,272.3239,87.9306,17.0123,15.32087452,0.0009776,0.0,0.001569,1663570037.0000217,93.98941281845312,6847.719734428494,476.7197344284941,468.9236055108468,484.5158633461406
